locus_tag	ftype	length_bp	gene	EC_number	COG	product
CDMOFKOB_00001	CDS	450				hypothetical protein
CDMOFKOB_00002	CDS	327				hypothetical protein
CDMOFKOB_00003	CDS	489				hypothetical protein
CDMOFKOB_00004	CDS	378				hypothetical protein
CDMOFKOB_00005	CDS	327				hypothetical protein
CDMOFKOB_00006	CDS	267				hypothetical protein
CDMOFKOB_00007	CDS	132				hypothetical protein
CDMOFKOB_00008	CDS	666				hypothetical protein
CDMOFKOB_00009	CDS	243				autolysin [Streptococcus pneumoniae TIGR4]
CDMOFKOB_00010	CDS	1143	xerC			Tyrosine recombinase XerC
CDMOFKOB_00011	CDS	498				hypothetical protein
CDMOFKOB_00012	CDS	318				hypothetical protein
CDMOFKOB_00013	CDS	222				hypothetical protein
CDMOFKOB_00014	CDS	258				hypothetical protein
CDMOFKOB_00015	CDS	312				hypothetical protein
CDMOFKOB_00016	CDS	270				hypothetical protein
CDMOFKOB_00017	CDS	1065				hypothetical protein
CDMOFKOB_00018	CDS	753				hypothetical protein
CDMOFKOB_00019	CDS	180				hypothetical protein
CDMOFKOB_00020	CDS	123				hypothetical protein
CDMOFKOB_00021	CDS	144				hypothetical protein
CDMOFKOB_00022	CDS	327				hypothetical protein
CDMOFKOB_00023	CDS	291				hypothetical protein
CDMOFKOB_00024	CDS	156				hypothetical protein
CDMOFKOB_00025	CDS	432				hypothetical protein
CDMOFKOB_00026	CDS	489				hypothetical protein
CDMOFKOB_00027	CDS	450				hypothetical protein
CDMOFKOB_00028	CDS	276				hypothetical protein
CDMOFKOB_00029	CDS	594				hypothetical protein
CDMOFKOB_00030	CDS	1128				hypothetical protein
CDMOFKOB_00031	CDS	393				hypothetical protein
CDMOFKOB_00032	CDS	303				hypothetical protein
CDMOFKOB_00033	CDS	969				hypothetical protein
CDMOFKOB_00034	CDS	693				hypothetical protein
CDMOFKOB_00035	CDS	2241				hypothetical protein
CDMOFKOB_00036	CDS	405	yqbN			putative protein YqbN
CDMOFKOB_00037	CDS	465	xkdM			Phage-like element PBSX protein XkdM
CDMOFKOB_00038	CDS	1314				hypothetical protein
CDMOFKOB_00039	CDS	171				hypothetical protein
CDMOFKOB_00040	CDS	417				hypothetical protein
CDMOFKOB_00041	CDS	492				hypothetical protein
CDMOFKOB_00042	CDS	357				hypothetical protein
CDMOFKOB_00043	CDS	396				hypothetical protein
CDMOFKOB_00044	CDS	993				hypothetical protein
CDMOFKOB_00045	CDS	582				hypothetical protein
CDMOFKOB_00046	CDS	396				hypothetical protein
CDMOFKOB_00047	CDS	198				hypothetical protein
