"","name","length","score","pvalue"
"1","Bacteria_NZ_CP030047_1_length_1164968_cov_25.331137",1164968,0.00968178097165758,0.728474411836042
"2","Bacteria_NZ_CP030047_2_length_962086_cov_24.852693",962086,0.0199234067879906,0.616056269706524
"3","Bacteria_NZ_CP030047_3_length_903237_cov_25.622075",903237,0.0147875724000496,0.666747513946156
"4","Bacteria_NZ_CP030047_4_length_843452_cov_24.847644",843452,0.0135022127596183,0.679238418627213
"5","Bacteria_NZ_CP030047_5_length_716767_cov_25.480978",716767,0.0114161015067011,0.705190395343197
"6","Bacteria_NZ_CP030047_6_length_654056_cov_25.331714",654056,0.0103040248242427,0.720834343924327
"7","Bacteria_NZ_CP030047_7_length_591109_cov_24.900322",591109,0.00866577979053759,0.746058695124909
"8","Bacteria_NZ_CP030047_8_length_549860_cov_25.518964",549860,0.0143947273997057,0.671355808877031
"9","Bacteria_NZ_CP030047_9_length_522822_cov_25.280467",522822,0.00814310614264402,0.754790201309726
"10","Bacteria_NZ_CP030047_10_length_445074_cov_24.905489",445074,0.0101724784176723,0.722895949551298
"11","Bacteria_NZ_CP030047_11_length_358912_cov_25.715536",358912,0.0106377530258967,0.715740965316517
"12","Bacteria_NZ_CP030047_12_length_344816_cov_25.525405",344816,0.0166716529812756,0.647465437788018
"13","Bacteria_NZ_CP030047_13_length_286447_cov_25.267867",286447,0.0196215790895919,0.618481688091196
"14","Bacteria_NZ_CP030047_14_length_261759_cov_25.041299",261759,0.0712572910719078,0.392432694639825
"15","Bacteria_NZ_CP030047_15_length_215781_cov_24.788064",215781,0.0314954365322846,0.535532379335435
"16","Bacteria_NZ_CP030047_16_length_136749_cov_25.242081",136749,0.0391007299459198,0.493936454038322
"17","Bacteria_NZ_CP030047_17_length_91941_cov_23.947359",91941,0.0648748150844101,0.406257579432452
"18","Bacteria_NZ_CP030047_18_length_74793_cov_25.262571",74793,0.0623119773351521,0.4136551055057
"19","Bacteria_NZ_CP030047_19_length_51723_cov_25.278567",51723,0.00902445821492753,0.740722774678632
"20","Bacteria_NZ_CP030047_20_length_43865_cov_24.192171",43865,0.0277719085526162,0.559665292262915
"21","Bacteria_NZ_CP030047_21_length_7930_cov_27.967111",7930,0.106948881954328,0.323793354353626
"22","Bacteria_NZ_CP030047_22_length_2746_cov_77.342995",2746,0.162567891645263,0.432654362817395
"23","Bacteria_NZ_CP030047_23_length_1666_cov_54.649907",1666,0.178539635271195,0.409694263961414
"24","Bacteria_NZ_CP040094_1_length_354158_cov_37.405207",354158,0.0609026325547292,0.418627213194276
"25","Bacteria_NZ_CP040094_2_length_268419_cov_32.576877",268419,0.119405744130734,0.305602716468591
"26","Bacteria_NZ_CP040094_3_length_256635_cov_36.665313",256635,0.0431522955076067,0.477686150861024
"27","Bacteria_NZ_CP040094_4_length_245149_cov_50.809591",245149,0.0521208756184882,0.445913170021829
"28","Bacteria_NZ_CP040094_5_length_235123_cov_31.569797",235123,0.0409592703411631,0.487024011642008
"29","Bacteria_NZ_CP040094_6_length_164044_cov_29.705986",164044,0.101173224796162,0.333131215134611
"30","Bacteria_NZ_CP040094_7_length_161340_cov_51.136901",161340,0.0467708789540185,0.463861266068397
"31","Bacteria_NZ_CP040094_8_length_160638_cov_28.841503",160638,0.0643855498288068,0.407591559544021
"32","Bacteria_NZ_CP040094_9_length_151410_cov_37.428773",151410,0.048919325761782,0.455493572641281
"33","Bacteria_NZ_CP040094_10_length_144220_cov_50.731627",144220,0.061053844898955,0.418142129517342
"34","Bacteria_NZ_CP040094_11_length_142401_cov_38.746568",142401,0.0517286053669223,0.447732233810332
